# DEFERRED WIP — NOT ACTIVE (ghr-ktvy5 checkpoint 1c): dispositions below describe a
# CANDIDATE five-group policy. The active root baseline is `pedantic = warn` only.
# clippy 1.98.0 (88d9e12ae1 2026-08-18) active-lint disposition audit
# source: rustup run 1.98.0 clippy-driver -W help (822 active lints, 0 ungrouped)
# pilot: cargo clippy -p cherry-pit-core -p gh-report --all-targets -- -W clippy::{all,pedantic,nursery,restriction,cargo}
lint	default_level	groups	disposition	pilot_hits
absolute_paths	allow	restriction	excluded	3048
absurd_extreme_comparisons	deny	all,correctness	retained	0
alloc_instead_of_core	allow	restriction	excluded	0
allow_attributes	allow	restriction	retained-scope-pending	30
allow_attributes_without_reason	allow	restriction	retained-scope-pending	1
almost_complete_range	warn	all,suspicious	retained	0
almost_swapped	deny	all,correctness	retained	0
approx_constant	deny	all,correctness	retained	0
arbitrary_source_item_ordering	allow	restriction	excluded	2144
arc_with_non_send_sync	warn	all,suspicious	retained	0
arithmetic_side_effects	allow	restriction	retained-scope-pending	400
as_conversions	allow	restriction	retained-scope-pending	100
as_pointer_underscore	allow	restriction	retained	0
as_ptr_cast_mut	allow	nursery	retained	0
as_underscore	allow	restriction	retained	0
assertions_on_constants	warn	all,style	retained	0
assertions_on_result_states	allow	restriction	retained-scope-pending	52
assign_op_pattern	warn	all,style	retained	0
assigning_clones	allow	pedantic	retained	0
async_yields_async	deny	all,correctness	retained	0
await_holding_invalid_type	warn	all,suspicious	retained	0
await_holding_lock	warn	all,suspicious	retained	0
await_holding_refcell_ref	warn	all,suspicious	retained	0
bad_bit_mask	deny	all,correctness	retained	0
big_endian_bytes	allow	restriction	retained	0
bind_instead_of_map	warn	all,complexity	retained	0
blanket_clippy_restriction_lints	warn	all,suspicious	excluded	32
blocks_in_conditions	warn	all,style	retained	0
bool_assert_comparison	warn	all,style	retained	0
bool_comparison	warn	all,complexity	retained	0
bool_to_int_with_if	allow	pedantic	retained	0
borrow_as_ptr	allow	pedantic	retained	0
borrow_deref_ref	warn	all,complexity	retained	0
borrow_interior_mutable_const	warn	all,style	retained	0
borrowed_box	warn	all,complexity	retained	0
box_collection	warn	all,perf	retained	0
box_default	warn	all,style	retained	0
boxed_local	warn	all,perf	retained	0
branches_sharing_code	allow	nursery	retained	0
builtin_type_shadow	warn	all,style	retained	0
by_ref_peekable_peek	warn	all,suspicious	retained	0
byte_char_slices	warn	all,style	retained	0
bytes_count_to_len	warn	all,complexity	retained	0
bytes_nth	warn	all,style	retained	0
cargo_common_metadata	allow	cargo	retained-scope-pending	32
case_sensitive_file_extension_comparisons	allow	pedantic	retained	0
cast_abs_to_unsigned	warn	all,suspicious	retained	0
cast_enum_constructor	warn	all,suspicious	retained	0
cast_enum_truncation	warn	all,suspicious	retained	0
cast_lossless	allow	pedantic	retained	0
cast_nan_to_int	warn	all,suspicious	retained	0
cast_possible_truncation	allow	pedantic	retained	0
cast_possible_wrap	allow	pedantic	retained	0
cast_precision_loss	allow	pedantic	retained	0
cast_ptr_alignment	allow	pedantic	retained	0
cast_sign_loss	allow	pedantic	retained	0
cast_slice_different_sizes	deny	all,correctness	retained	0
cast_slice_from_raw_parts	warn	all,suspicious	retained	0
cfg_not_test	allow	restriction	retained	0
char_indices_as_byte_indices	deny	all,correctness	retained	0
char_lit_as_u8	warn	all,complexity	retained	0
chars_last_cmp	warn	all,style	retained	0
chars_next_cmp	warn	all,style	retained	0
checked_conversions	allow	pedantic	retained	0
chunks_exact_to_as_chunks	warn	all,style	retained	0
clear_with_drain	allow	nursery	retained	0
clone_on_copy	warn	all,complexity	retained	0
